Wall time,Step,Value
1519892868.78409,1181140,3
1519892880.69588,1182500,2
1519892900.89891,1184720,2
1519892907.2513,1185440,4
1519893016.79219,1197660,0
1519893225.07935,1220740,1
1519893411.37267,1241560,3
1519893615.90737,1264340,1
1519893715.38699,1275480,4
1519893724.6484,1276500,4
1519893725.67668,1276620,2
1519893742.94895,1278560,2
1519893773.1547,1281900,2
1519893790.88576,1283840,3
1519893808.98079,1285840,2
1519894069.98655,1314620,1
1519894117.57476,1319920,0
1519894182.01058,1327100,2
1519894249.52278,1334580,2
1519894256.37916,1335380,3
1519894329.88493,1343640,3
1519894506.57095,1363360,3
1519894580.19999,1371620,3
1519894652.85542,1379740,1
1519894781.12484,1393980,0
1519894822.31213,1398620,12
1519895024.24896,1420960,2
1519895095.29078,1428960,2
1519895211.02531,1441920,1
1519895229.76889,1444000,3
1519895392.14854,1462180,0
1519895403.63856,1463460,0
1519895408.772,1464040,2
1519895429.52802,1466380,0
1519895456.82891,1469440,2
1519895483.60663,1472440,2
1519895551.78697,1480080,2
1519895584.80604,1483720,2
1519895603.11114,1485780,10
1519895613.47526,1486960,2
1519895649.09567,1490960,3
1519895678.97403,1494300,0
1519895726.68768,1499460,0
1519896039.8476,1534320,2
1519896195.97902,1551840,1
1519896359.0446,1570160,11
1519896371.53695,1571540,2
1519896435.26967,1578680,3
1519896495.71179,1585440,16
1519896694.54669,1607380,0
1519896714.36354,1609600,2
1519896831.7141,1622740,3
1519896872.686,1627280,4
1519896937.06756,1634460,1
1519896950.22749,1635900,3
1519896973.29459,1638520,2
1519897011.38702,1642820,3
1519897236.85323,1668060,2
1519897268.8125,1671660,2
1519897367.12066,1682660,0
1519897411.18258,1687560,4
1519897459.42589,1692980,3
1519897542.65784,1702000,0
1519897654.04653,1714380,3
1519897672.6522,1716440,2
1519897810.43641,1731860,3
1519897941.77344,1746620,25
1519897994.3159,1752500,5
1519898048.46114,1758540,3
1519898164.83487,1771640,0
1519898294.34664,1786120,13
1519898337.71546,1791000,5
1519898393.2313,1797220,2
1519898651.99698,1825940,16
1519898779.44961,1840240,3
1519898886.57506,1852200,3
1519899070.44234,1872780,14
1519899111.23426,1877360,3
1519899145.10577,1881120,13
1519899175.6506,1884540,3
1519899221.16824,1889640,14
1519899338.23467,1902380,5
1519899351.20726,1903820,3
1519899545.33787,1925580,3
1519899794.06183,1953460,0
1519899866.53861,1961560,18
1519899872.72053,1962300,5
1519899906.49227,1966080,5
1519899988.06426,1975200,3
1519900002.44704,1976820,5
1519900016.34665,1978400,3
1519900035.46267,1980540,4
1519900117.57409,1989680,15
1519900187.23586,1997540,25
1519900249.89468,2004420,14
1519900271.745,2006860,2
1519900448.20585,2026620,17
1519900617.94657,2045660,2
1519900629.08285,2046880,3
1519900639.17849,2048000,24
1519900647.46059,2048940,3
1519900702.39073,2055080,15
1519900703.17497,2055200,5
1519900790.71407,2065000,5
1519900938.38711,2081620,2
1519900957.87302,2083800,16
1519900983.492,2086660,18
1519901067.20743,2096000,18
1519901361.96082,2128440,46
1519901677.69923,2162800,20
1519901823.7877,2178840,29
1519901827.3542,2179260,49
1519901972.92854,2195180,39
1519902023.40263,2200520,29
1519902238.91317,2223900,29
